Badge,bp-Homecard__Price--value,bp-Homecard__Price--label,bp-Homecard__Stats--beds,bp-Homecard__Stats--baths,bp-Homecard__LockedStat--value,bp-Homecard__Address,bp-Homecard__Address href,bp-Homecard__Content
"SOLD OCT 20, 2025","$300,000",Last sold price,2 beds,2 baths,"1,263","6670 Villa Sonrisa Dr #221, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6670-Villa-Sonrisa-Dr-33433/unit-221/home/42259059,"{""@context"":""http://schema.org"",""name"":""6670 Villa Sonrisa Dr #221, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6670-Villa-Sonrisa-Dr-33433/unit-221/home/42259059"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6670 Villa Sonrisa Dr #221"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3363497,""longitude"":-80.1508219},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1263,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD AUG 15, 2025","$314,000",Last sold price,2 beds,2 baths,"1,319","6690 Montego Bay Blvd Unit F, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-F/home/42260521,"{""@context"":""http://schema.org"",""name"":""6690 Montego Bay Blvd Unit F, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-F/home/42260521"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6690 Montego Bay Blvd Unit F"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3377032,""longitude"":-80.1498785},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1319,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD JAN 16, 2026","$410,000",Last sold price,3 beds,2 baths,"2,186","6730 Montego Bay Blvd Unit D, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6730-Montego-Bay-Blvd-33433/unit-D/home/42261030,"{""@context"":""http://schema.org"",""name"":""6730 Montego Bay Blvd Unit D, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6730-Montego-Bay-Blvd-33433/unit-D/home/42261030"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6730 Montego Bay Blvd Unit D"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3376654,""longitude"":-80.1513823},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2186,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD AUG 15, 2025","$435,000",Last sold price,3 beds,2 baths,"1,295","6630 Villa Sonrisa Dr #710, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6630-Villa-Sonrisa-Dr-33433/unit-710/home/42261087,"{""@context"":""http://schema.org"",""name"":""6630 Villa Sonrisa Dr #710, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6630-Villa-Sonrisa-Dr-33433/unit-710/home/42261087"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6630 Villa Sonrisa Dr #710"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3358652,""longitude"":-80.1498027},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1295,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD MAR 24, 2026","$380,000",Last sold price,3 beds,3 baths,"1,699","6780 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6780-Via-Regina-33433/home/42272951,"{""@context"":""http://schema.org"",""name"":""6780 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6780-Via-Regina-33433/home/42272951"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6780 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146706},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1699,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD AUG 19, 2025","$295,000",Last sold price,2 beds,2.5 baths,"1,156","6493 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6493-Via-Regina-33433/unit-4/home/42274769,"{""@context"":""http://schema.org"",""name"":""6493 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6493-Via-Regina-33433/unit-4/home/42274769"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6493 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146703},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1156,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD MAR 27, 2026","$290,000",Last sold price,2 beds,2.5 baths,"1,156","6621 Via Regina #6621, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6621-Via-Regina-33433/home/42280900,"{""@context"":""http://schema.org"",""name"":""6621 Via Regina #6621, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6621-Via-Regina-33433/home/42280900"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6621 Via Regina #6621"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146706},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1156,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"BOUGHT WITH REDFIN MAR 3, 2026","$425,000",Last sold price,3 beds,2 baths,"1,808","22715 Camino Del Mar #61, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-61/home/42547968,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #61, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-61/home/42547968"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #61"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1808,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD APR 10, 2026","$420,000",Last sold price,2 beds,2 baths,"1,808","22715 Camino Del Mar #21, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-21/home/42548466,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #21, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-21/home/42548466"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #21"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1808,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD FEB 17, 2026","$444,500",Last sold price,3 beds,2 baths,"1,609","22715 Camino Del Mar #42, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-42/home/42549456,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #42, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-42/home/42549456"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #42"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1609,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD FEB 6, 2026","$380,000",Last sold price,2 beds,2 baths,"1,306","22715 Camino Del Mar #33, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-33/home/42550958,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #33, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-33/home/42550958"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #33"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1306,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD JAN 29, 2026","$410,000",Last sold price,3 beds,2 baths,"1,844","22791 Trelawny Ter Unit A, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22791-Trelawny-Ter-33433/unit-A/home/42669011,"{""@context"":""http://schema.org"",""name"":""22791 Trelawny Ter Unit A, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22791-Trelawny-Ter-33433/unit-A/home/42669011"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22791 Trelawny Ter Unit A"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.338739,""longitude"":-80.14884},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1844,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD MAY 2, 2026","$435,000",Last sold price,3 beds,2 baths,"1,641","6630 Villa Sonrisa Dr #721, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6630-Villa-Sonrisa-Dr-33433/unit-721/home/42669105,"{""@context"":""http://schema.org"",""name"":""6630 Villa Sonrisa Dr #721, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6630-Villa-Sonrisa-Dr-33433/unit-721/home/42669105"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6630 Villa Sonrisa Dr #721"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3358652,""longitude"":-80.1498027},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1641,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD FEB 10, 2026","$337,500",Last sold price,2 beds,2 baths,"1,108","6569 Via Regina #6569, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6569-Via-Regina-33433/unit-6569/home/130504269,"{""@context"":""http://schema.org"",""name"":""6569 Via Regina #6569, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6569-Via-Regina-33433/unit-6569/home/130504269"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6569 Via Regina #6569"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146706},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1108,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD FEB 3, 2026","$760,000",,4 beds,2 baths,"2,743","3057 Deer Creek Via Napoli #18, Deerfield Beach, FL 33442",https://www.redfin.com/FL/Deerfield-Beach/3057-Deer-Creek-Via-Napoli-33442/unit-18/home/41398969,"[{""@context"":""http://schema.org"",""name"":""3057 Deer Creek Via Napoli #18, Deerfield Beach, FL 33442"",""url"":""https://www.redfin.com/FL/Deerfield-Beach/3057-Deer-Creek-Via-Napoli-33442/unit-18/home/41398969"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3057 Deer Creek Via Napoli #18"",""addressLocality"":""Deerfield Beach"",""addressRegion"":""FL"",""postalCode"":""33442"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3273589,""longitude"":-80.1461223},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2743,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""3057 Deer Creek Via Napoli #18, Deerfield Beach, FL 33442"",""offers"":{""@type"":""Offer"",""price"":""760000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Deerfield-Beach/3057-Deer-Creek-Via-Napoli-33442/unit-18/home/41398969""}]"
"SOLD MAY 29, 2025","$867,800",,5 beds,3 baths,"2,743","3130 Deer Creek Via Napoli, Deerfield Beach, FL 33442",https://www.redfin.com/FL/Deerfield-Beach/3130-Deer-Creek-Via-Napoli-33442/home/41399397,"[{""@context"":""http://schema.org"",""name"":""3130 Deer Creek Via Napoli, Deerfield Beach, FL 33442"",""url"":""https://www.redfin.com/FL/Deerfield-Beach/3130-Deer-Creek-Via-Napoli-33442/home/41399397"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3130 Deer Creek Via Napoli"",""addressLocality"":""Deerfield Beach"",""addressRegion"":""FL"",""postalCode"":""33442"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3269283,""longitude"":-80.1468572},""numberOfRooms"":5,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2743,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""3130 Deer Creek Via Napoli, Deerfield Beach, FL 33442"",""offers"":{""@type"":""Offer"",""price"":""867800"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Deerfield-Beach/3130-Deer-Creek-Via-Napoli-33442/home/41399397""}]"
"SOLD NOV 10, 2025","$850,000",,3 beds,2 baths,"2,459","3008 Deer Creek Via Napoli, Deerfield Beach, FL 33442",https://www.redfin.com/FL/Deerfield-Beach/3008-Deer-Creek-Via-Napoli-33442/home/41400918,"[{""@context"":""http://schema.org"",""name"":""3008 Deer Creek Via Napoli, Deerfield Beach, FL 33442"",""url"":""https://www.redfin.com/FL/Deerfield-Beach/3008-Deer-Creek-Via-Napoli-33442/home/41400918"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3008 Deer Creek Via Napoli"",""addressLocality"":""Deerfield Beach"",""addressRegion"":""FL"",""postalCode"":""33442"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.326918,""longitude"":-80.1456096},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2459,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""3008 Deer Creek Via Napoli, Deerfield Beach, FL 33442"",""offers"":{""@type"":""Offer"",""price"":""850000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Deerfield-Beach/3008-Deer-Creek-Via-Napoli-33442/home/41400918""}]"
"SOLD AUG 28, 2025","$385,000",,2 beds,2 baths,"1,244","6690 Montego Bay Blvd Unit A, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-A/home/42260531,"[{""@context"":""http://schema.org"",""name"":""6690 Montego Bay Blvd Unit A, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-A/home/42260531"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6690 Montego Bay Blvd Unit A"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3377032,""longitude"":-80.1498785},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1244,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6690 Montego Bay Blvd Unit A, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""385000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-A/home/42260531""}]"
"SOLD JAN 5, 2026","$307,000",,2 beds,2 baths,"1,319","6650 Montego Bay Blvd Unit B, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6650-Montego-Bay-Blvd-33433/unit-B/home/42264016,"[{""@context"":""http://schema.org"",""name"":""6650 Montego Bay Blvd Unit B, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6650-Montego-Bay-Blvd-33433/unit-B/home/42264016"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6650 Montego Bay Blvd Unit B"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3380032,""longitude"":-80.1491273},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1319,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6650 Montego Bay Blvd Unit B, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""307000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6650-Montego-Bay-Blvd-33433/unit-B/home/42264016""}]"
"SOLD OCT 7, 2025","$513,000",,3 beds,2 baths,"1,844","22760 Mandeville Pl Unit E, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22760-Mandeville-Pl-33433/unit-E/home/42266514,"[{""@context"":""http://schema.org"",""name"":""22760 Mandeville Pl Unit E, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22760-Mandeville-Pl-33433/unit-E/home/42266514"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22760 Mandeville Pl Unit E"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3384045,""longitude"":-80.1514149},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1844,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""22760 Mandeville Pl Unit E, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""513000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/22760-Mandeville-Pl-33433/unit-E/home/42266514""}]"
"SOLD JUN 4, 2025","$332,000",,2 beds,2 baths,"1,090","6510 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6510-Via-Regina-33433/home/42272378,"[{""@context"":""http://schema.org"",""name"":""6510 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6510-Via-Regina-33433/home/42272378"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6510 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146703},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1090,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6510 Via Regina, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""332000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6510-Via-Regina-33433/home/42272378""}]"
"SOLD FEB 11, 2026","$337,500",,2 beds,2 baths,"1,108","6569 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6569-Via-Regina-33433/home/42274393,"[{""@context"":""http://schema.org"",""name"":""6569 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6569-Via-Regina-33433/home/42274393"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6569 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146706},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1108,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6569 Via Regina, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""337500"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6569-Via-Regina-33433/home/42274393""}]"
"SOLD JUL 22, 2025","$335,000",,2 beds,2 baths,"1,108","6599 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6599-Via-Regina-33433/home/42275890,"[{""@context"":""http://schema.org"",""name"":""6599 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6599-Via-Regina-33433/home/42275890"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6599 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146703},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1108,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6599 Via Regina, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""335000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6599-Via-Regina-33433/home/42275890""}]"
"SOLD MAR 4, 2026","$231,000",,3 beds,2.5 baths,"1,227","6611 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6611-Via-Regina-33433/home/42276395,"[{""@context"":""http://schema.org"",""name"":""6611 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6611-Via-Regina-33433/home/42276395"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6611 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3335796,""longitude"":-80.147556},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1227,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6611 Via Regina, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""231000"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6611-Via-Regina-33433/home/42276395""}]"
"SOLD NOV 12, 2025","$352,500",,2 beds,2 baths,"1,090","6581 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6581-Via-Regina-33433/home/42276406,"[{""@context"":""http://schema.org"",""name"":""6581 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6581-Via-Regina-33433/home/42276406"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6581 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3343204,""longitude"":-80.1474624},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1090,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""},{""@context"":""http://schema.org"",""@type"":""Product"",""name"":""6581 Via Regina, Boca Raton, FL 33433"",""offers"":{""@type"":""Offer"",""price"":""352500"",""priceCurrency"":""USD""},""url"":""https://www.redfin.com/FL/Boca-Raton/6581-Via-Regina-33433/home/42276406""}]"
